Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,CV Accuracy Mean,CV Accuracy Std,CV F1 Mean,CV F1 Std,Train Seconds,Predict Seconds,Confusion Matrix
dummy_baseline,0.7341862117981521,0.0,0.0,0.0,0.5,0.7342222222222222,0.0,0.0,0.0,0.049465500022051856,0.01233010002761148,"[[1033, 0], [374, 0]]"
logistic_regression,0.7306325515280739,0.4957983193277311,0.7887700534759359,0.608875128998968,0.8428154329583633,0.7617777777777778,0.011507592769907385,0.6451693392950906,0.015035906521929276,0.11764529999345541,0.013120799994794652,"[[733, 300], [79, 295]]"
knn,0.757640369580668,0.5433070866141733,0.553475935828877,0.5483443708609271,0.7846040554741653,0.7690666666666666,0.012023351764558854,0.5683149272777378,0.026307268680847585,0.048250799998641014,0.10322210000595078,"[[859, 174], [167, 207]]"
decision_tree,0.7142857142857143,0.4779874213836478,0.8128342245989305,0.601980198019802,0.8302164921235589,0.7354666666666667,0.015827215192216876,0.6266242102778776,0.016100513990472964,0.0611166000016965,0.012758600001689047,"[[701, 332], [70, 304]]"
naive_bayes,0.7043354655294953,0.4670846394984326,0.7967914438502673,0.5889328063241107,0.8112760196923968,0.7319111111111111,0.011719857581404087,0.6214179267966353,0.012083894948962958,0.07227770000463352,0.01312560000224039,"[[693, 340], [76, 298]]"
